"      Houdini 2.0 STD", 2590.2,,2277.50,2900,78.53
"         Houdini 1.5a", 2584.5,,3162.50,4000,79.06
"    Critter 1.4 SSE42", 2555.5,,1853.00,2400,77.21
"       Komodo 4 SSE42", 2549.8,,1892.50,2500,75.70
"     Komodo64 3 SSE42", 2538.3,,2075.50,2800,74.12
" Deep Rybka 4.1 SSE42", 2532.8,,2655.00,3700,71.76
"          Critter 1.2", 2528.1,,2232.00,3100,72.00
"         Deep Rybka 4", 2527.7,,3627.00,4900,74.02
"        Houdini 1.03a", 2525.8,,2520.00,3200,78.75
" Komodo 2.03 DC SSE42", 2521.0,,1985.50,2700,73.54
"   Stockfish 2.1.1 JA", 2512.4,,2426.50,3500,69.33
"   Critter 1.01 SSE42", 2492.8,,1970.00,2800,70.36
"    Stockfish 2.01 JA", 2492.2,,2246.00,3100,72.45
"   Stockfish 1.9.1 JA", 2470.5,,2131.00,3000,71.03
"           Rybka 3 mp", 2470.4,,3228.00,4200,76.86
"   Critter 0.90 SSE42", 2462.8,,2327.50,3400,68.46
"   Stockfish 1.7.1 JA", 2455.5,,2131.00,2900,73.48
"          Rybka 3 32b", 2412.3,,1191.50,1700,70.09
"   Stockfish 1.6.x JA", 2396.7,,1792.50,2600,68.94
"      Komodo64 1.3 JA", 2391.8,,1946.00,3300,58.97
"          Chiron 1.1a", 2389.5,,1453.50,2600,55.90
"             Naum 4.2", 2386.2,,3927.50,6800,57.76
"         Critter 0.80", 2377.8,,1795.50,2800,64.12
"         Fritz 13 32b", 2375.4,,1406.50,2600,54.10
"        Komodo 1.2 JA", 2362.4,,2175.00,3700,58.78
"      Rybka 2.3.2a mp", 2358.5,,2172.50,3500,62.07
"     Deep Shredder 12", 2354.5,,4346.00,7900,55.01
"             Gull 1.2", 2348.5,,1854.50,3800,48.80
"         Critter 0.70", 2345.1,,1107.00,1900,58.26
"             Gull 1.1", 2344.4,,1675.50,3100,54.05
"             Naum 4.1", 2343.3,,1465.00,2300,63.70
"Deep Sjeng c't 2010 32b", 2341.3,,2333.00,4800,48.60
"        Komodo 1.0 JA", 2338.8,,1756.50,2900,60.57
"        Spike 1.4 32b", 2336.2,,1843.50,3900,47.27
"    Deep Fritz 12 32b", 2331.8,,3268.50,6300,51.88
"               Naum 4", 2329.8,,1628.50,2700,60.31
"       Rybka 2.2n2 mp", 2329.2,,1311.50,2100,62.45
"            Gull 1.0a", 2320.5,,1254.00,2300,54.52
"   Stockfish 1.5.1 JA", 2316.3,,1128.50,1900,59.39
"           Rybka 1.2f", 2315.3,,1578.50,2400,65.77
"      Protector 1.4.0", 2310.2,,1789.50,4000,44.74
"         Hannibal 1.1", 2306.4,,1436.50,3300,43.53
"      spark-1.0 SSE42", 2305.0,,1965.50,4500,43.68
"   HIARCS 13.2 MP 32b", 2297.5,,1850.00,4300,43.02
"         Fritz 12 32b", 2294.8,,1091.00,2000,54.55
"   HIARCS 13.1 MP 32b", 2281.8,,1734.50,3600,48.18
